lakeid,cuvette_use,a254_10,a280_10,a300_10,a320_10,a365_10,a400_10,a420_10,a440_10,a254_a365_10,S_10,a254_1,a280_1,a300_1,a320_1,a365_1,a400_1,a420_1,a440_1,a254_a365_1,S
2343,1,60.33939454,45.6728657,34.02509775,25.3090488,12.45378916,6.819183,4.97298305,3.7117451,4.845063117,15.31399013,64.46097,46.38242,33.99228,25.24088,12.27499,6.77082,4.92842,3.6848,5.251407129,15.34233029
1163900,1,60.72574006,48.17196615,37.19028338,28.3204516,14.83821461,8.9413975,6.971353725,5.49184895,4.092523371,12.99114967,63.29847318,48.1891235,36.28664375,27.562304,14.07003456,8.302315,6.27970525,4.8558755,4.498814334,13.9307449
1619100,1,60.80362176,47.4841752,36.04195,27.3333858,14.7926296,8.905701,6.8482008,5.2996636,4.110399801,13.18230259,64.71170913,49.2093525,36.63785125,27.75115,14.94718969,8.970185,6.80824375,5.1990225,4.329356252,13.50609543
1166500,1,61.05809379,48.21623145,36.63362163,28.22180952,15.3095702,9.107405585,6.896288639,5.247720622,3.988230434,13.58664224,64.56438056,48.99773058,36.70380787,28.19909979,15.2049628,8.988722378,6.812083205,5.150108557,4.24627021,13.74657755
1871700,1,61.08421352,47.24408745,36.24547763,27.4623538,14.14584644,8.1261355,6.159891675,4.74867085,4.318173095,13.87874239,64.72708165,47.973793,36.0361925,27.276732,13.97028588,7.99141,5.9567095,4.566849,4.633196645,14.20796913
1147500,1,61.34888004,45.9876858,33.759677,25.0253192,12.8157344,7.664384,5.9288432,4.6861444,4.786996837,13.35373361,64.0365271,46.023152,32.829265,24.080168,12.08096225,7.02415,5.299203,4.150006,5.300614783,14.01084037
1832500,10,62.05467469,48.63924485,37.66758013,28.8607354,15.08898252,8.3149815,5.991081775,4.35117305,4.112581787,15.16759853,34.06902748,26.6146195,21.58198875,17.263288,9.498003813,5.216295,3.82240425,2.8200235,3.58696713,14.09420403
1139900,1,62.15544416,49.88916687,39.57021133,30.46831324,15.94488426,8.740534323,6.313022344,4.581356899,3.898143327,15.15305728,66.59823286,51.43328611,39.62430735,30.49355943,15.96589523,8.684848893,6.280546543,4.549249084,4.171280839,15.19681824
2017500,10,62.86690117,48.95197897,37.74113123,28.38658027,14.30587827,7.981620349,5.933915789,4.552951825,4.394480367,14.41108793,-10.70782857,-14.72191298,-15.31247673,-12.89701694,-8.625479878,-6.710827734,-5.658714864,-4.701414037,1.241418301,#NUM!
1125300,1,65.26377277,51.9575224,38.9172455,29.6677066,17.11595358,11.448213,9.5682741,7.8863932,3.813037497,11.32357526,69.73294003,53.0461505,38.81418625,29.602762,16.97210244,11.411365,9.52348075,7.8658965,4.108680129,11.32276183
971000,1,66.38107322,53.0606594,40.652556,30.1881846,15.99813495,9.129092,6.9440056,5.3208512,4.149300742,13.73996454,73.79174723,54.7918245,40.79476625,30.367358,16.02556944,9.108365,6.85660675,5.2727185,4.604625596,13.9358017
2759400,1,66.88913229,53.49396885,40.79275113,30.9449504,16.35563252,9.6438125,7.372881775,5.73297305,4.089669551,13.37491203,73.9774266,55.166062,40.87825,31.058258,16.3156035,9.53442,7.222208,5.600896,4.534152022,13.56705565
2337600,1,67.01863574,53.5000718,39.908687,29.4608972,14.14744415,7.903896,5.7768452,4.2969374,4.737154996,15.36444574,75.88419545,55.117699,39.8131125,29.321796,14.16258638,7.94535,5.8369535,4.350367,5.358074679,15.19588768
1569800,1,67.04411844,54.0557857,41.06767175,30.8224308,15.92613741,8.829702,6.39163105,4.6790051,4.209691069,15.21200338,74.80109455,55.472361,40.5615875,30.464084,15.50005363,8.40595,6.0234965,4.308913,4.825860372,15.93003339
2300600,1,67.90147352,54.89995035,40.16345638,28.8423114,13.59678246,7.3822665,5.314575525,3.91936055,4.993936892,16.09370876,78.16347455,56.071141,39.2258475,27.930784,12.82857363,6.60961,4.5956365,3.226503,6.092920136,17.65603064
